Timestamp,Air Temp,Atmospheric Pressure,Atmospheric Pressure reduce to mean sea level,Pressure tendency,Relative Humidity,Mean wind speed,Max gust value,Max gust value,Max air Temp,Max air Temp,Horizontal Visibility,Dewpoint Temp,Accumulated time
30.04.2020 21:00,24.6,668.6,,1.9,27,6,,,,,10,4.3,
30.04.2020 18:00,28.2,666.7,,-0.9,15,6,,,,30,10,-0.6,
30.04.2020 15:00,29.1,667.6,,-1.5,15,3,,,,,10,-0.1,
30.04.2020 12:00,27.2,669.1,,-0.6,18,3,,,,,20,0.8,
30.04.2020 09:00,24,669.7,,0.7,26,4,4,6,,,20,3.1,3
30.04.2020 06:00,18.5,669,,0.6,37,3,,,17.6,,20,3.6,
30.04.2020 03:00,20.2,668.4,,-0.8,28,2,,,,,20,0.9,
30.04.2020 00:00,22.2,669.2,,1.3,25,0,,,,,20,1.3,
29.04.2020 21:00,25.3,667.9,,1.5,19,2,,,,,20,0,
29.04.2020 18:00,29.3,666.4,,-0.5,8,2,,,,30.3,20,-7.8,
29.04.2020 15:00,28.1,666.9,,-1,11,4,,,,,20,-4.5,
29.04.2020 12:00,25.2,667.9,,-0.3,20,2,,,,,20,0.8,
29.04.2020 09:00,21.8,668.2,,1.5,25,1,,,,,20,1.1,
29.04.2020 06:00,13.4,666.7,,0.9,40,3,,,12.5,,20,0.1,
29.04.2020 03:00,16.3,665.8,,-0.3,34,4,,,,,20,0.2,
29.04.2020 00:00,18.1,666.1,,0.2,30,4,,,,,20,0,
28.04.2020 21:00,20.1,665.9,,1.8,22,7,,,,,20,-2.2,
28.04.2020 18:00,27,664.1,,0.1,14,10,,,,28.4,10,-2.6,
28.04.2020 15:00,29,664,,-1.5,5,4,,,,,20,-14.9,
28.04.2020 12:00,25.3,665.5,,-0.7,16,2,,,,,20,-2.2,
28.04.2020 09:00,20,666.2,,0.8,27,2,3,3,,,20,0.4,
28.04.2020 06:00,12.5,665.4,,0.5,35,2,,,11.8,,20,-2.6,
28.04.2020 03:00,15.9,664.9,,-0.2,43,1,,,,,20,3.4,
28.04.2020 00:00,17.9,665.1,,0.3,30,4,,,,,20,0.1,
27.04.2020 21:00,20.4,664.8,,2.3,29,6,,,,,15,1.6,
27.04.2020 18:00,27.7,662.5,,-0.6,8,4,,,,29.3,8,-9.8,
27.04.2020 15:00,27.5,663.1,,-1.8,11,3,,,,,8,-5.8,
27.04.2020 12:00,25.1,664.9,,-0.5,19,2,,,,,10,-0.2,
27.04.2020 09:00,20.1,665.4,,0.8,29,2,4,4,,,10,1.5,9
27.04.2020 06:00,14.4,664.6,,0.3,45,3,,,14.2,,20,2.4,
